file	pr	ref
2241-e2e-verification-in-dms.md	3356	refs/pr/upstream/3356
2265-email-lowercase.md	3356	refs/pr/upstream/3356
2312-matrix-uri.md	3356	refs/pr/upstream/3356
2320-identity-versions.md	3356	refs/pr/upstream/3356
2366-key-verification-accept.md	3356	refs/pr/upstream/3356
2403-knock.md	3356	refs/pr/upstream/3356
2414-optional-content-reporting-reason.md	3356	refs/pr/upstream/3356
2557-spoiler-clarifications.md	3356	refs/pr/upstream/3356
2713-remove-deprecated-identity-endpoints.md	3356	refs/pr/upstream/3356
2732-olm-fallback-keys.md	3356	refs/pr/upstream/3356
2758-textual-id-grammar.md	3356	refs/pr/upstream/3356
2765-widget-avatars.md	3356	refs/pr/upstream/3356
2774-widget-id.md	3356	refs/pr/upstream/3356
2778-appservice-login.md	3356	refs/pr/upstream/3356
2788-v6-default-version.md	3356	refs/pr/upstream/3356
2801-untrusted-event-data.md	3356	refs/pr/upstream/3356
2844-global-versioning.md	3356	refs/pr/upstream/3356
2858-Multiple-SSO-Identity-Providers.md	3356	refs/pr/upstream/3356
2874-single-ssss.md	3356	refs/pr/upstream/3356
2998-rooms-v7.md	3356	refs/pr/upstream/3356
3083-restricted-rooms.md	3356	refs/pr/upstream/3356
3122-deprecate-starting-verifications-without-request.md	3356	refs/pr/upstream/3356
3173-expose-stripped-state-events.md	3356	refs/pr/upstream/3356
3289-rooms-v8.md	3356	refs/pr/upstream/3356
3356-add-openid-userinfo-fields.md	3356	refs/pr/upstream/3356
1543-qr_code_key_verification.md	3359	refs/pr/upstream/3359
1756-cross-signing.md	3359	refs/pr/upstream/3359
1772-groups-as-rooms.md	3359	refs/pr/upstream/3359
1960-integrations-openid.md	3359	refs/pr/upstream/3359
2010-spoilers.md	3359	refs/pr/upstream/3359
2184-allow-html-details.md	3359	refs/pr/upstream/3359
2241-e2e-verification-in-dms.md	3359	refs/pr/upstream/3359
2265-email-lowercase.md	3359	refs/pr/upstream/3359
2312-matrix-uri.md	3359	refs/pr/upstream/3359
2320-identity-versions.md	3359	refs/pr/upstream/3359
2366-key-verification-accept.md	3359	refs/pr/upstream/3359
2403-knock.md	3359	refs/pr/upstream/3359
2414-optional-content-reporting-reason.md	3359	refs/pr/upstream/3359
2557-spoiler-clarifications.md	3359	refs/pr/upstream/3359
2713-remove-deprecated-identity-endpoints.md	3359	refs/pr/upstream/3359
2732-olm-fallback-keys.md	3359	refs/pr/upstream/3359
2758-textual-id-grammar.md	3359	refs/pr/upstream/3359
2765-widget-avatars.md	3359	refs/pr/upstream/3359
2774-widget-id.md	3359	refs/pr/upstream/3359
2778-appservice-login.md	3359	refs/pr/upstream/3359
2788-v6-default-version.md	3359	refs/pr/upstream/3359
2801-untrusted-event-data.md	3359	refs/pr/upstream/3359
2844-global-versioning.md	3359	refs/pr/upstream/3359
2858-Multiple-SSO-Identity-Providers.md	3359	refs/pr/upstream/3359
2874-single-ssss.md	3359	refs/pr/upstream/3359
2998-rooms-v7.md	3359	refs/pr/upstream/3359
3083-restricted-rooms.md	3359	refs/pr/upstream/3359
3122-deprecate-starting-verifications-without-request.md	3359	refs/pr/upstream/3359
3173-expose-stripped-state-events.md	3359	refs/pr/upstream/3359
3289-rooms-v8.md	3359	refs/pr/upstream/3359
3359-delayed-push.md	3359	refs/pr/upstream/3359
1543-qr_code_key_verification.md	3360	refs/pr/upstream/3360
1756-cross-signing.md	3360	refs/pr/upstream/3360
1772-groups-as-rooms.md	3360	refs/pr/upstream/3360
1960-integrations-openid.md	3360	refs/pr/upstream/3360
2010-spoilers.md	3360	refs/pr/upstream/3360
